"Source:","/home/mih/ownCloud/gr/FitoTimer/pcb-01/pcb-01.sch"
"Date:","Пн 26 фев 2018 16:01:38"
"Tool:","Eeschema 4.0.7-e2-6376~58~ubuntu16.04.1"
"Component Count:","12"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"BT1","3V","Batteries:BATTCOM_20MM_PTH","","",""
"C1","1.0UF","1206","","",""
"C2","22mF","Capacitors_ThroughHole:CP_Radial_D6.3mm_P2.50mm","","",""
"D1","DIODE-PTH","DIODE-1N4001","","",""
"J1","Screw_Terminal_01x02","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MKDS1.5-2pol","","",""
"P1","RELAY831-1A","mih-library:Relay-841-1A","","",""
"Q1","BC547","TO_SOT_Packages_THT:TO-92_Molded_Narrow","","",""
"R1","RESISTOR1206","1206","","",""
"U1","ATMEGA8-16AU","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm","","",""
"U2","NRF24L01","NRF24L01","","",""
"U3","DS1307Z","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","",""
"Y1","Crystal","Crystals:Crystal_C38-LF_d3.0mm_l8.0mm_Horizontal_1EP_style2","","",""
